,page_number,position,result_type,title,link,result_id,publication_info_summary,snippet,cited_by_count,cited_by_link,cited_by_id,total_versions,all_versions_link,all_versions_id,file_format,file_title,file_link
0,1,1,,ISIDOG recommendations concerning COVID-19 and pregnancy,https://www.mdpi.com/697256,MFdhvUYVtzgJ,"…, ISIDOG COVID-19 Guideline Workgroup - Diagnostics, 2020 - mdpi.com","Providing guidelines to health care workers during a period of rapidly evolving viral pandemic infections is not an easy task, but it is extremely necessary in order to coordinate …",104,"https://scholar.google.com/scholar?cites=4086758580431181616&as_sdt=5,41&sciodt=0,41&hl=en",4086758580431181616,21,"https://scholar.google.com/scholar?cluster=4086758580431181616&hl=en&as_sdt=0,41",4086758580431181616,PDF,mdpi.com,https://www.mdpi.com/2075-4418/10/4/243/pdf
1,1,2,,Thoracic imaging tests for the diagnosis of COVID‐19,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013639.pub4/abstract,ajv0AUbwKHsJ,"…, J Wang, MD McInnes, C COVID - Cochrane Database …, 2021 - cochranelibrary.com",Background The respiratory illness caused by SARS‐CoV‐2 infection continues to present diagnostic challenges. Our 2020 edition of this review showed thoracic (chest) imaging to be …,162,"https://scholar.google.com/scholar?cites=8874607249204722538&as_sdt=5,41&sciodt=0,41&hl=en",8874607249204722538,24,"https://scholar.google.com/scholar?cluster=8874607249204722538&hl=en&as_sdt=0,41",8874607249204722538,PDF,cochranelibrary.com,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013639.pub4/pdf/full
2,1,3,,Clinical presentation of COVID-19: case series and review of the literature,https://www.mdpi.com/768822,8KkZfxb8KM4J,"…, C Sagnelli, N Coppola, V COVID - International journal of …, 2020 - mdpi.com",COVID-19 infection has a broad spectrum of severity ranging from an asymptomatic form to … COVID-19. This article is addressed particularly to physicians caring for patients with COVID-…,50,"https://scholar.google.com/scholar?cites=14855400544433449456&as_sdt=5,41&sciodt=0,41&hl=en",14855400544433449456,12,"https://scholar.google.com/scholar?cluster=14855400544433449456&hl=en&as_sdt=0,41",14855400544433449456,PDF,mdpi.com,https://www.mdpi.com/1660-4601/17/14/5062/pdf
3,1,4,Html,Post-COVID-19 global health strategies: the need for an interdisciplinary approach,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7287410/,8kkSt4DOzDMJ,"GA COVID… - Aging clinical and …, 2020 - ncbi.nlm.nih.gov","For survivors of severe COVID-19 disease, having defeated the virus is just the beginning of an uncharted recovery path. What follows after the acute phase of SARS-CoV-2 infection …",810,"https://scholar.google.com/scholar?cites=3732585243405863410&as_sdt=5,41&sciodt=0,41&hl=en",3732585243405863410,7,"https://scholar.google.com/scholar?cluster=3732585243405863410&hl=en&as_sdt=0,41",3732585243405863410,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7287410/
4,1,5,Html,"Characteristics of health care personnel with COVID-19—United States, February 12–April 9, 2020",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7755055/,lyov1uPCdr0J,"CDC COVID, R Team, CDC COVID… - … and mortality weekly …, 2020 - ncbi.nlm.nih.gov","As of April 9, 2020, the coronavirus disease 2019 (COVID-19) pandemic had resulted in 1,521,252 cases and 92,798 deaths worldwide, including 459,165 cases and 16,570 deaths in …",1275,"https://scholar.google.com/scholar?cites=13652313604227017367&as_sdt=5,41&sciodt=0,41&hl=en",13652313604227017367,21,"https://scholar.google.com/scholar?cluster=13652313604227017367&hl=en&as_sdt=0,41",13652313604227017367,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7755055/
5,1,6,Html,"Geographic differences in COVID-19 cases, deaths, and incidence—United States, February 12–April 7, 2020",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7755058/,n2SWG8vOpq4J,"CDC Covid, R Team, CDC COVID, R Team… - … and Mortality Weekly …, 2020 - ncbi.nlm.nih.gov",Community transmission of coronavirus disease 2019 (COVID-19) was first detected in the … of COVID-19. This report describes the geographic distribution of laboratory-confirmed COVID…,310,"https://scholar.google.com/scholar?cites=12584973580469953695&as_sdt=5,41&sciodt=0,41&hl=en",12584973580469953695,23,"https://scholar.google.com/scholar?cluster=12584973580469953695&hl=en&as_sdt=0,41",12584973580469953695,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7755058/
6,1,7,Html,"Evidence for limited early spread of COVID-19 within the United States, January–February 2020",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7315848/,3-miaVYwkFkJ,"…, CDC COVID, R Team, CDC COVID… - … and Mortality Weekly …, 2020 - ncbi.nlm.nih.gov","From January 21 through February 23, 2020, public health agencies detected 14 US cases of coronavirus disease 2019 (COVID-19), all related to travel from China (1, 2). The first …",125,"https://scholar.google.com/scholar?cites=6453711413719525855&as_sdt=5,41&sciodt=0,41&hl=en",6453711413719525855,13,"https://scholar.google.com/scholar?cluster=6453711413719525855&hl=en&as_sdt=0,41",6453711413719525855,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7315848/
7,1,8,Html,Neuropathological features of Covid-19,https://www.nejm.org/doi/full/10.1056/NEJMc2019373,UGSviGz9quEJ,"IH Solomon, E Normandin… - … England Journal of …, 2020 - Mass Medical Soc","… Neurologic symptoms, including headache, altered mental status, and anosmia, occur in many patients with Covid-19. We report the neuropathological findings from autopsies of 18 …",567,"https://scholar.google.com/scholar?cites=16261088047166088272&as_sdt=5,41&sciodt=0,41&hl=en",16261088047166088272,8,"https://scholar.google.com/scholar?cluster=16261088047166088272&hl=en&as_sdt=0,41",16261088047166088272,HTML,nejm.org,https://www.nejm.org/doi/full/10.1056/NEJMc2019373
8,1,9,Html,Covid-19—navigating the uncharted,https://www.nejm.org/doi/full/10.1056/nejme2002387,_TTWRFqSJjoJ,"AS Fauci, HC Lane, RR Redfield - New England Journal of …, 2020 - Mass Medical Soc","… the current report, we should be prepared for Covid-19 to gain a foothold throughout the world, … A robust research effort is currently under way to develop a vaccine against Covid-19. We …",1627,"https://scholar.google.com/scholar?cites=4190197419714426109&as_sdt=5,41&sciodt=0,41&hl=en",4190197419714426109,43,"https://scholar.google.com/scholar?cluster=4190197419714426109&hl=en&as_sdt=0,41",4190197419714426109,HTML,nejm.org,https://www.nejm.org/doi/full/10.1056/nejme2002387
9,1,10,,Features of anosmia in COVID-19,https://www.sciencedirect.com/science/article/pii/S0399077X20301104,m8Unhn70BRMJ,"T Klopfenstein, NJ Kadiane-Oussou, L Toko… - Medecine et maladies …, 2020 - Elsevier",Background Medical publications about anosmia with COVID-19 are scarce. We aimed to describe the prevalence and features of anosmia in COVID-19 patients. Methods We …,361,"https://scholar.google.com/scholar?cites=1370770485857994139&as_sdt=5,41&sciodt=0,41&hl=en",1370770485857994139,11,"https://scholar.google.com/scholar?cluster=1370770485857994139&hl=en&as_sdt=0,41",1370770485857994139,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7162775/
10,2,1,Html,Remdesivir for the treatment of Covid-19,https://www.nejm.org/doi/full/10.1056/nejmoa2007764,viOY_dP1MXsJ,"JH Beigel, KM Tomashek, LE Dodd… - … England Journal of …, 2020 - Mass Medical Soc","Background Although several therapeutic agents have been evaluated for the treatment of coronavirus disease 2019 (Covid-19), no antiviral agents have yet been shown to be …",3301,"https://scholar.google.com/scholar?cites=8877146631365469118&as_sdt=5,41&sciodt=0,41&hl=en",8877146631365469118,21,"https://scholar.google.com/scholar?cluster=8877146631365469118&hl=en&as_sdt=0,41",8877146631365469118,HTML,nejm.org,https://www.nejm.org/doi/full/10.1056/nejmoa2007764
11,2,2,Html,An overview of COVID-19,https://link.springer.com/article/10.1631/jzus.B2000083,rbCAzi1oEM4J,"Y Shi, G Wang, X Cai, J Deng, L Zheng, H Zhu… - Journal of Zhejiang …, 2020 - Springer","… 11, 2020, the World Health Organization (WHO) officially named the disease resulting from infection with SARS-CoV-2 as coronavirus disease 2019 (COVID-19). COVID-19 represents …",312,"https://scholar.google.com/scholar?cites=14848482517387882669&as_sdt=5,41&sciodt=0,41&hl=en",14848482517387882669,13,"https://scholar.google.com/scholar?cluster=14848482517387882669&hl=en&as_sdt=0,41",14848482517387882669,HTML,springer.com,https://link.springer.com/article/10.1631/jzus.B2000083
12,2,3,,COVID-19 and multiorgan response,https://www.sciencedirect.com/science/article/pii/S0146280620300955,ImeqdMtCTP4J,"S Zaim, JH Chong, V Sankaranarayanan… - Current problems in …, 2020 - Elsevier","… COVID-19 has demonstrated a wide spectrum of clinical … multiorgan impact of COVID-19 reported since its outbreak. … If a paper is reporting on many aspects of the COVID-19, then the …",825,"https://scholar.google.com/scholar?cites=18324094425466824482&as_sdt=5,41&sciodt=0,41&hl=en",18324094425466824482,15,"https://scholar.google.com/scholar?cluster=18324094425466824482&hl=en&as_sdt=0,41",18324094425466824482,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7187881/
13,2,4,,Signs and symptoms to determine if a patient presenting in primary care or hospital outpatient settings has COVID‐19,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013665.pub2/abstract,8UY06fACHIYJ,"…, SRA Horn, A Van den Bruel, C COVID - Cochrane Database …, 2021 - cochranelibrary.com","… mild to moderate COVID‐19 from severe to critical COVID‐19, so we presented the results for all severities together. The results indicated that at least half of participants with COVID‐19 …",421,"https://scholar.google.com/scholar?cites=9663602134158165745&as_sdt=5,41&sciodt=0,41&hl=en",9663602134158165745,30,"https://scholar.google.com/scholar?cluster=9663602134158165745&hl=en&as_sdt=0,41",9663602134158165745,PDF,cochranelibrary.com,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013665.pub2/pdf/full
14,2,5,Html,"Public health response to the initiation and spread of pandemic COVID-19 in the United States, February 24–April 21, 2020",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7737947/,H_8eFT1CQVsJ,"A Schuchat, CDC Covid, R Team - Morbidity and mortality weekly …, 2020 - ncbi.nlm.nih.gov","From January 21 through February 23, 2020, a total of 14 cases of coronavirus disease 2019 (COVID-19) were diagnosed in six US states, including 12 cases in travelers arriving from …",264,"https://scholar.google.com/scholar?cites=6575609761052426015&as_sdt=5,41&sciodt=0,41&hl=en",6575609761052426015,17,"https://scholar.google.com/scholar?cluster=6575609761052426015&hl=en&as_sdt=0,41",6575609761052426015,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7737947/
15,2,6,,Environmental perspective of COVID-19,https://www.sciencedirect.com/science/article/pii/S0048969720323871,al1uui-OqVIJ,"S Saadat, D Rawtani, CM Hussain - Science of the Total environment, 2020 - Elsevier",The outbreak of COVID-19 has caused concerns globally. On 30 January WHO has declared it as a global health emergency. The easy spread of this virus made people to wear a mask …,637,"https://scholar.google.com/scholar?cites=5956448317816593770&as_sdt=5,41&sciodt=0,41&hl=en",5956448317816593770,13,"https://scholar.google.com/scholar?cluster=5956448317816593770&hl=en&as_sdt=0,41",5956448317816593770,HTML,nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7194675/
